chr	start	end	state	cn	sample	score	n	mscore	ave.mprop	ave.gprop	winct.ratio	exp.winct	
1	220038801	220042600	6	6	test	6.43231	12	0.536026	0.032	0.388167	1.17831	11.1034
1	223725801	223732300	0	0	test	17.4981	21	0.833243	0.090381	0.393333	0.29163	11.1034
1	224198901	224204900	6	6	test	12.028	17	0.707529	0.537059	0.414706	4.35578	140.206
1	228753301	228774500	6	6	test	58.0412	70	0.82916	0.0207143	0.676543	1.83717	6.01079
1	229812301	229820900	0	0	test	27.1225	28	0.968661	0.851429	0.376214	0.0186659	216.208
1	234911701	234956100	4	4	test	51.7988	146	0.354786	0.337507	0.460575	2.12383	109.375
1	235545101	235550100	6	6	test	10.8955	16	0.680966	0.056125	0.38575	1.93071	11.1034
1	248329601	248335500	6	6	test	12.2876	19	0.646718	0.0425263	0.406316	1.62261	8.85515
1	248598701	248712600	4	4	test	154.617	379	0.40796	0.263763	0.378575	1.39581	84.1095
1	248724101	248799000	0	0	test	246.378	249	0.98947	0.75041	0.375647	0.0159099	191.338
1	248804201	248819100	1	1	test	32.5572	49	0.664433	0.36151	0.397878	0.303937	110.186
1	249226601	249240600	6	6	test	21.6144	46	0.469878	0.0968696	0.428478	4.77491	8.85515
